stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03451229998609051,,0.0164558999822475,0.03451229998609051,0.5550740999751724,0.5550740999751724,0.5675186999724247,0.8685843999846838,1.6109862999874167,right,10.0,1,1,1.0450890000211075,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
1,2,8.0,1.6335258000181057,,1.6111604999750853,1.6335258000181057,2.1205988000147045,2.1205988000147045,2.1371532999910414,2.420404899981804,2.5733605999848805,left,-8.0,1,1,0.4439066000049934,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
2,2,6.0,2.5874570999876596,,2.5736137999920174,2.5874570999876596,3.086060700006783,3.086060700006783,3.101919699984137,3.3851237000199035,3.5072920999955386,right,6.0,1,1,0.41219980001915246,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
3,2,4.0,3.5346118999877945,,3.50761919998331,3.5346118999877945,4.017887900001369,4.017887900001369,4.034588399983477,4.31856779998634,4.453832099970896,left,-4.0,1,1,0.42443259997526184,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
4,2,2.0,4.468429500004277,,4.453996399999596,4.468429500004277,4.953833199979272,4.953833199979272,4.968359999998938,5.267882500018459,5.886151399987284,left,-2.0,1,1,0.930698600015603,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
5,2,1.0,5.901169300021138,,5.886302999977488,5.901169300021138,6.401183800015133,6.401183800015133,6.401183800015133,6.703687999979593,6.873002499982249,right,1.0,1,1,0.4654152999864891,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
6,1,1.0,6.887083399982657,,6.8732197000063024,6.887083399982657,7.386400300019886,7.386400300019886,7.386400300019886,7.68735799996648,7.772511199989822,right,1.0,0,0,0.37068880000151694,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
7,1,2.0,7.7870952999801375,,7.772735800012015,7.7870952999801375,8.285808500018902,8.285808500018902,8.302778200013563,8.586699099978432,8.755199500010349,right,2.0,1,1,0.4672961999895051,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
8,1,2.0,8.771070899965707,,8.755395599990152,8.771070899965707,9.271941100014374,9.271941100014374,9.28803809999954,9.586944699985906,9.689830199989956,right,2.0,1,1,0.40739769994979724,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
9,1,2.0,9.704231699986849,,9.69007040001452,9.704231699986849,10.203803199983668,10.203803199983668,10.203803199983668,10.503538099990692,10.572844600013923,right,2.0,1,1,0.3548026999924332,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
10,1,1.0,10.58710579999024,,10.573067499964964,10.58710579999024,11.085224499984179,11.085224499984179,11.102169499965385,11.386853299976792,11.539049100014381,right,1.0,1,1,0.4363741999841295,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
11,0.5,1.0,11.552882799995132,,11.539262400008738,11.552882799995132,12.053094999981113,12.053094999981113,12.053094999981113,12.353130300005432,12.456478799984325,left,-1.0,0,0,0.39016830001492053,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
12,0.5,1.5,12.470681699982379,,12.45670430001337,12.470681699982379,12.968464299978223,12.968464299978223,12.985032099997625,,13.1704000000027,right,1.5,0,0,0.19134540000231937,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
13,0.5,2.0,13.185175699996762,,13.170561900013126,13.185175699996762,13.68497549998574,13.68497549998574,13.68497549998574,13.985590900003444,14.322777899971697,right,2.0,1,1,0.6308214000309817,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
14,0.5,2.0,14.335412100015674,,14.322953199967742,14.335412100015674,14.836303199990653,14.836303199990653,14.836303199990653,15.135341399989557,15.18738839996513,left,-2.0,1,1,0.34052949998294935,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
15,0.5,2.0,15.202184499998111,,15.187564999971073,15.202184499998111,15.702104499971028,15.702104499971028,15.702104499971028,16.002126800012775,16.104550599993672,right,2.0,1,1,0.3850170000223443,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
16,0.5,1.5,16.118873499974143,,16.10473819996696,16.118873499974143,16.618837399990298,16.618837399990298,16.618837399990298,,16.821008800005075,right,1.5,0,0,0.18945950001943856,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
17,0.5,2.0,16.835420200019144,,16.821192100003827,16.835420200019144,17.335694600013085,17.335694600013085,17.335694600013085,,17.55449830001453,right,2.0,1,1,0.2133124999818392,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
18,0.5,2.0,17.56898949999595,,17.55467340000905,17.56898949999595,18.068918299977668,18.068918299977668,18.068918299977668,18.36775839998154,18.636655699985567,right,2.0,0,0,0.5571827000239864,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
19,0.5,2.5,18.651220300002024,,18.6367942999932,18.651220300002024,19.15180779999355,19.15180779999355,19.15180779999355,19.45179769996321,19.508137699973304,left,-2.5,0,0,0.34839539998210967,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
20,0.5,3.0,19.535339800000656,,19.50846799998544,19.535339800000656,20.01825409999583,20.01825409999583,20.035396299965214,20.318410800013226,20.77236509998329,right,3.0,1,1,0.7470983999664895,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
21,0.5,3.0,20.78716979996534,,20.772578999982215,20.78716979996534,21.286648800014518,21.286648800014518,21.286648800014518,21.584556799964048,21.670238199993037,right,3.0,0,0,0.3761633000103757,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
22,0.5,3.5,21.68533920001937,,21.670438900007866,21.68533920001937,22.186148200009484,22.186148200009484,22.186148200009484,,22.338206299988087,right,3.5,1,1,0.138374800037127,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
23,0.5,3.5,22.353677899984177,,22.33841929998016,22.353677899984177,22.853641499998048,22.853641499998048,22.869117699970957,23.169145299994852,23.304734600009397,left,-3.5,0,0,0.44287460000487044,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
24,0.5,4.0,23.319099500018638,,23.304935199965257,23.319099500018638,23.81907460000366,23.81907460000366,23.81907460000366,,23.854845499969088,left,-4.0,1,1,0.019632100011222064,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
25,0.5,4.0,23.8700070999912,,23.855038499983493,23.8700070999912,24.369172799983062,24.369172799983062,24.385102899977937,24.668528000009246,24.83704840001883,right,4.0,1,1,0.46292350004659966,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
26,0.5,4.0,24.852640099998098,,24.837212099984754,24.852640099998098,25.337690000014845,25.337690000014845,25.354254200006835,25.63795529998606,28.38816279999446,right,4.0,1,1,3.044871799997054,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
27,0.5,3.5,28.40259429998696,,28.38836599997012,28.40259429998696,28.901434600003995,28.901434600003995,28.918140599969774,29.202078500005882,29.43748969997978,right,3.5,1,1,0.5231773999985307,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
28,0.5,3.5,29.45217770000454,,29.437667199992575,29.45217770000454,29.93754730001092,29.93754730001092,29.954364400007762,30.237432900001295,30.538927100016735,right,3.5,1,1,0.5843265000148676,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
29,0.5,3.5,30.553156799986027,,30.539143299974967,30.553156799986027,31.051689499989152,31.051689499989152,31.068276799982414,,31.30604639998637,right,3.5,0,0,0.23947990004671738,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
30,0.5,4.0,31.319095699989703,,31.306249600020237,31.319095699989703,31.819343400013167,31.819343400013167,31.819343400013167,32.11855700000888,32.33745930000441,right,4.0,1,1,0.5157204999704845,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
31,0.5,4.0,32.35258469998371,,32.3376230999711,32.35258469998371,32.85229299997445,32.85229299997445,32.85229299997445,33.15498099999968,33.26940539997304,left,-4.0,1,1,0.4099511999520473,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
32,0.5,4.0,33.284431600011885,,33.26955149997957,33.284431600011885,33.769822100002784,33.769822100002784,33.78641579998657,34.07047939999029,34.15600919997087,right,4.0,1,1,0.37830140005098656,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
33,0.5,3.5,34.17053499998292,,34.15623019996565,34.17053499998292,34.668368500017095,34.668368500017095,34.68501610000385,34.96804229996633,35.18825489998562,right,3.5,1,1,0.5151063000084832,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
34,0.5,3.5,35.20268250000663,,35.18846759997541,35.20268250000663,35.70271519996459,35.70271519996459,35.70271519996459,36.003079499991145,36.00524959998438,right,3.5,1,1,0.2985556999919936,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
35,0.5,3.5,36.01916419999907,,36.00544340000488,36.01916419999907,36.51920959999552,36.51920959999552,36.51920959999552,36.819487100001425,36.9225737999659,left,-3.5,1,1,0.3855391999823041,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
36,0.5,3.0,36.93592760001775,,36.92277589999139,36.93592760001775,37.434536700020544,37.434536700020544,37.45129980001366,37.73495760001242,37.937407799996436,right,3.0,1,1,0.4978802999830805,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
37,0.5,3.0,37.95178800000576,,37.93757479998749,37.95178800000576,38.43454549997114,38.43454549997114,38.45129729999462,38.73540399997728,38.938993000017945,left,-3.0,1,1,0.5005831999587826,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
38,0.5,3.0,38.953691500006244,,38.9391873999848,38.953691500006244,39.45165810000617,39.45165810000617,39.468619299994316,39.75178489997052,39.787151199998334,right,3.0,1,1,0.32142200000816956,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
39,0.5,2.5,39.80262849997962,,39.78731849999167,39.80262849997962,40.301911299990024,40.301911299990024,40.301911299990024,40.602378399984445,40.80359209998278,right,2.5,0,0,0.49455169995781034,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
40,0.5,3.0,40.8193908999674,,40.80378750001546,40.8193908999674,41.31854459998431,41.31854459998431,41.31854459998431,41.61839690001216,41.80547929997556,right,3.0,1,1,0.4779110999661498,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
41,0.5,3.0,41.82053859997541,,41.80569579999428,41.82053859997541,42.31978069996694,42.31978069996694,42.31978069996694,42.61982069996884,42.85632199997781,left,-3.0,1,1,0.5187385000172071,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
42,0.5,3.0,42.870177200005855,,42.85653749998892,42.870177200005855,43.3683245999855,43.3683245999855,43.38499609997962,43.66837129998021,43.70343930000672,right,3.0,1,1,0.32535830000415444,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
43,0.5,2.5,43.7183614000096,,43.7035981999943,43.7183614000096,44.219378000008874,44.219378000008874,44.219378000008874,44.5192613999825,44.721296500007156,right,2.5,1,1,0.4865743000409566,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
44,0.5,2.5,44.73677089996636,,44.721492399985436,44.73677089996636,45.23636689997511,45.23636689997511,45.23636689997511,45.536043800006155,45.70575690001715,left,-2.5,0,0,0.45229119999567047,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
45,0.5,3.0,45.71923340001376,,45.70595269999467,45.71923340001376,46.220036200014874,46.220036200014874,46.220036200014874,,46.254918699967675,right,3.0,0,0,0.02167270000791177,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
46,0.5,3.5,46.269310700008646,,46.25511819997337,46.269310700008646,46.769772799976636,46.769772799976636,46.769772799976636,47.06789740000386,47.31940619996749,left,-3.5,1,1,0.5444519000011496,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
47,0.5,3.5,47.33717179996893,,47.31955580000067,47.33717179996893,47.81868129997747,47.81868129997747,47.851756100018974,48.11852129996987,48.2700711999787,left,-3.5,1,1,0.4399212999851443,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
48,0.5,3.5,48.28594149998389,,48.2702341999975,48.28594149998389,48.769803199975286,48.769803199975286,48.78631699999096,49.07050789997447,49.339178599999286,left,-3.5,1,1,0.5611429999698885,443045,001,2024-09-11_22h23.43.919,Adaptive Staircase Experiment h.w,2024.1.5,None,2024-09-11 22h23.47.311808 +0530,
